Localidade,Código,Ano,Assinatura Celular,Usuários de Internet(%),Número de Usuários de Internet,Assinatura de Banda Larga,Anos_Escola_Ajustados_Aprendizagem,Razão bruta de matrícula combinada para educação terciária - Feminino,Razão bruta de matrícula combinada para educação terciária - Masculino,"Taxa líquida de matrícula combinada total, secundário, masculino","Taxa líquida de matrícula combinada total, secundário, feminino","Taxa líquida de matrícula combinada total, primário, feminino","Taxa líquida de matrícula combinada total, primário, masculino"
Sierra Leone,SLE,2017,88.46989441,13.23693085,1016275,0.0,4.52,,,38.53384,38.12873,,
Sierra Leone,SLE,2018,83.07224274,15.80000019,1242083,0.0,4.6573877,,,42.52242,41.00903,,
Singapore,SGP,2017,146.8437195,84.45227051,4868242,25.85300255,12.9,91.19697,78.93885,99.7717,99.79816,,
Singapore,SGP,2018,148.8215637,88.16563416,5126429,25.94182014,12.937873,95.41782,82.913,,,,
Singapore,SGP,2020,144.3471222,92.00434875,5437341,25.80532837,12.81329,98.27005,88.37732,,,,
Slovakia,SVK,2010,109.6352615,75.70999908,4085636,16.22696686,10.243245,69.6171,45.01948,84.89855,86.40775,84.92458,83.27135
Slovakia,SVK,2017,130.6513214,81.62566376,4439961,25.80117035,10.38,56.63234,37.10983,84.23779,85.3043,84.10775,82.12587
Slovakia,SVK,2018,132.8018188,80.4489212,4381848,27.64570236,10.101996,54.8891,36.30809,,,,
Slovakia,SVK,2020,133.5198669,89.92090607,4906697,31.1661644,9.799783,57.21841,38.5048,,,,
Slovenia,SVN,2010,103.8472824,70.0,1440106,23.0273819,11.185949,107.43621,72.27736,93.42939,94.65004,98.6308,98.23719
Slovenia,SVN,2017,117.6641846,78.88542938,1655329,28.98390198,11.61,93.0217,64.94869,94.81207,96.62219,,
Slovenia,SVN,2018,118.6742249,79.74997711,1679479,29.48956108,11.61505,91.63234,63.47811,,,,
Slovenia,SVN,2020,122.701828,86.6013031,1833911,31.34311867,11.370939,95.00724,65.87554,,,,
Solomon Islands,SLB,2018,73.83377838,0.0,0,0.227921277,5.015643,,,,,67.82703,67.14029
South Africa,ZAF,2017,155.2323914,56.16739273,31813890,1.970169783,5.11,26.37453,18.41968,65.42324,78.52272,86.70383,87.31522
South Africa,ZAF,2018,159.9306641,62.40000153,35779931,1.915495396,5.570013,28.31438,19.35346,,,,
